_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68f27f9258e46f71a9f18104,,73.2,95.34,73.2,59.36,183;0;0;0,time,30,-1,3,30,0,27.13,false,false,english,,normal,false,false,false,,1760722834000
68f27f3d58e46f71a9f17c85,,75.2,92.82,77.6,66.35,188;2;0;1,time,30,-1,1,30,0,3.68,false,false,english,,normal,false,false,false,,1760722749000
68f27f1858e46f71a9f17ac2,,61.6,89.27,64,57.53,154;2;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760722712000
68f27ef758e46f71a9f17921,,62.4,90.32,69.2,63.14,156;4;0;0,time,30,-1,1,30,0,8.77,false,false,english,,normal,false,false,false,,1760722679000
68f27ebd58e46f71a9f17618,,79.6,92.21,90.4,68.88,199;8;1;0,time,30,-1,2,30,0,36.72,false,false,english,,normal,false,false,false,,1760722621000
68f27e7458e46f71a9f1726a,,72.8,90.69,74.8,62.93,182;2;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760722548000
68f27e4258e46f71a9f17024,,64,86.6,76.8,55.5,160;9;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760722498000
68f27e2058e46f71a9f16e8d,,79.2,94.55,82.8,70.27,198;2;0;0,time,30,-1,1,30,0,1.69,false,false,english,,normal,false,false,false,,1760722464000
68f27de258e46f71a9f16b2f,true,39.6,91.96,42,60.94,99;1;0;0,time,30,-1,1,30,1,9.4,false,false,spanish,,normal,false,false,false,,1760722402000
68f27da158e46f71a9f167f9,,66,86.54,77.19,70.23,165;6;2;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760722337000
68f27d7f58e46f71a9f16635,,81.59,94.76,88.79,76.21,204;3;1;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760722303000
68f27d5658e46f71a9f16424,,62.4,88.78,71.6,68.7,156;4;1;3,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760722262000
68f27d3558e46f71a9f16272,,62.4,87.1,68,60.86,156;4;1;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760722229000
68f27d1558e46f71a9f160b6,,62.4,87.8,75.6,63.36,156;7;1;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760722197000
68f27cf358e46f71a9f15eea,,79.2,96.6,79.2,64.79,198;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760722163000
68f27cd358e46f71a9f15d50,,70.8,96.3,72.4,64.72,177;0;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760722131000
