_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6895f826b62381ed49b2ea3b,,39.99,80.77,60.79,61.43,50;7;1;0,time,15,-1,6,15,0,12.99,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754658854000
6895f7fdb62381ed49b2e85f,,50.39,87.65,62.39,70.68,63;4;0;0,time,15,-1,15,15,0,69.14,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754658813000
6895f739b62381ed49b2dec5,TRUE,60.8,90.22,72.8,83.3,76;3;2;0,time,15,-1,4,15,0,13.41,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754658617000
6895f711b62381ed49b2dce5,TRUE,56,87.06,66.4,70.01,70;6;1;0,time,15,-1,6,15,0,10.53,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754658577000
6895f6eab62381ed49b2db22,,47.19,80.68,67.19,76,59;7;4;0,time,15,-1,11,15,0,34.46,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754658538000
6895f665b62381ed49b2d4cc,,47.19,85.9,56.79,54.44,59;1;1;0,time,15,-1,6,15,0,13.24,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754658405000
6895f633b62381ed49b2d27a,TRUE,48.79,81.72,74.39,63.61,61;9;2;0,time,15,-1,20,15,0,63.79,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754658355000
6895ecc9b62381ed49b263b7,,43.6,85.71,54.4,63.37,109;6;0;1,time,30,-1,5,30,0,21.01,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754655945000
6895ec88b62381ed49b260d1,,46,87.07,54.4,58.42,115;5;0;0,time,30,-1,2,30,0,14.4,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754655880000
6895ec41b62381ed49b25d82,,60.8,92.31,70.4,69.04,152;4;0;0,time,30,-1,3,30,0,50.89,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754655809000
6895b773b62381ed49b05298,,47.19,80,65.59,60.21,118;15;5;2,time,30,-1,2,30.01,0,8.55,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754642291000
6895b746b62381ed49b050fb,,54.4,92.21,60,51.39,136;6;1;1,time,30,-1,0,30,3,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754642246000
